Date	BITCOIN
2014-08-26	508.4
2014-08-25	502.5
2014-08-24	507.3
2014-08-23	500.1
2014-08-22	515.6
2014-08-21	515.9
2014-08-20	517
2014-08-19	490.3
2014-08-18	478.2
2014-08-17	501.3
2014-08-16	527.2
2014-08-15	506.2
2014-08-14	510
2014-08-13	549
2014-08-12	566
2014-08-11	572.5
2014-08-10	580
2014-08-09	583.3
2014-08-08	586.4
2014-08-07	582.3
2014-08-06	577.5
2014-08-05	575
2014-08-04	581.1
2014-08-03	582.1
2014-08-02	587.8
2014-08-01	594.9
2014-07-31	579
2014-07-30	551
2014-07-29	575
2014-07-28	586.4
2014-07-27	590.5
2014-07-26	594
2014-07-25	598
2014-07-24	600.3
2014-07-23	617.2
2014-07-22	612.6
2014-07-21	619.8
2014-07-20	618.9
2014-07-19	625.3
2014-07-18	627.5
2014-07-17	627.6
2014-07-16	621
2014-07-15	620.9
2014-07-14	622.4
2014-07-13	624
2014-07-12	626
2014-07-11	625.5
2014-07-10	610
2014-07-09	620.2
2014-07-08	618.5
2014-07-07	624
2014-07-06	633.3
2014-07-05	630
2014-07-04	632.2
2014-07-03	643.6
2014-07-02	647.9
2014-07-01	650.8
2014-06-30	640
2014-06-29	603.7
2014-06-28	600.1
2014-06-27	606.2
2014-06-26	577.9
2014-06-25	568.1
2014-06-24	587.3
2014-06-23	599.3
2014-06-22	607.8
2014-06-21	601.6
2014-06-20	601
2014-06-19	602
2014-06-18	611.5
2014-06-17	614.3
2014-06-16	580
2014-06-15	571
2014-06-14	554.4
2014-06-13	582.6
2014-06-12	590
2014-06-11	637.1
2014-06-10	653.6
2014-06-09	653.7
2014-06-08	662.3
2014-06-07	663
2014-06-06	655
2014-06-05	663.3
2014-06-04	652.3
2014-06-03	682.9
2014-06-02	669.5
2014-06-01	646.5
2014-05-31	635.6
2014-05-30	629
2014-05-29	573
2014-05-28	577
2014-05-27	570
2014-05-26	575
2014-05-25	566.2
2014-05-24	502.3
2014-05-23	509.5
2014-05-22	502.3
2014-05-21	477.6
2014-05-20	476
2014-05-19	439
2014-05-18	438.8
2014-05-17	442
2014-05-16	442.3
2014-05-15	442
2014-05-14	444
2014-05-13	437.3
2014-05-12	440
2014-05-11	432
2014-05-10	451.1
2014-05-09	446
2014-05-08	442.8
2014-05-07	438
2014-05-06	430
2014-05-05	427
2014-05-04	430.9
2014-05-03	440.5
2014-05-02	453.5
2014-05-01	459
2014-04-30	448.3
2014-04-29	434
2014-04-28	448
2014-04-27	441.5
2014-04-26	459
2014-04-25	460
2014-04-24	497.5
2014-04-23	490.2
2014-04-22	488
2014-04-21	497
2014-04-20	512.5
2014-04-19	505
2014-04-18	490.5
2014-04-17	500.7
2014-04-16	522.3
2014-04-15	515
2014-04-14	459
2014-04-13	404.2
2014-04-12	415
2014-04-11	416.3
2014-04-10	370
2014-04-09	442.5
2014-04-08	448.8
2014-04-07	454.2
2014-04-06	453.7
2014-04-05	460.8
2014-04-04	450
2014-04-03	448.8
2014-04-02	443.3
2014-04-01	482.8
2014-03-31	452
2014-03-30	464.1
2014-03-29	491.9
2014-03-28	497.4
2014-03-27	498.5
2014-03-26	595
2014-03-25	582
2014-03-24	590
2014-03-23	566.2
2014-03-22	560
2014-03-21	568.8
2014-03-20	583.5
2014-03-19	611
2014-03-18	618.4
2014-03-17	624.3
2014-03-16	635
2014-03-15	641.6
2014-03-14	630
2014-03-13	642
2014-03-12	650
2014-03-11	615
2014-03-10	615
2014-03-09	621
2014-03-08	614.1
2014-03-07	621
2014-03-06	663
2014-03-05	675
2014-03-04	668
2014-03-03	658
2014-03-02	560.6
2014-03-01	568.2
2014-02-28	565
2014-02-27	579
2014-02-26	582
2014-02-25	515
2014-02-24	562.4
2014-02-23	619
2014-02-22	595.2
2014-02-21	568
2014-02-20	578.9
2014-02-19	630.4
2014-02-18	628
2014-02-17	663.8
2014-02-16	608
2014-02-15	653.4
2014-02-14	682
2014-02-13	634.3
2014-02-12	685
2014-02-11	658.9
2014-02-10	706.3
2014-02-09	710
2014-02-08	690
2014-02-07	720
2014-02-06	771.6
2014-02-05	791
2014-02-04	813
2014-02-03	810
2014-02-01	814.6
2014-01-31	800
2014-01-30	803.9
2014-01-29	800
2014-01-28	795
2014-01-27	760.3
2014-01-26	809.7
2014-01-25	810
2014-01-24	781.9
2014-01-23	816.2
2014-01-22	807
2014-01-21	810
2014-01-20	823.4
2014-01-19	830
2014-01-18	800
2014-01-17	789
2014-01-16	824
2014-01-15	839.7
2014-01-14	826.9
2014-01-13	818.4
2014-01-12	888.1
2014-01-11	896.9
2014-01-10	834.7
2014-01-09	850
2014-01-08	828.5
2014-01-07	791
2014-01-06	934.5
2014-01-05	904
2014-01-04	801.8
2014-01-03	812.1
2014-01-02	775
2014-01-01	740.3
2013-12-31	727.7
2013-12-30	737.2
2013-12-29	714.3
2013-12-28	701
2013-12-27	718.9
2013-12-26	740
2013-12-24	647.3
2013-12-23	640.4
2013-12-22	622.1
2013-12-21	607.7
2013-12-20	599
2013-12-19	702
2013-12-18	551.4
2013-12-17	731.9
2013-12-16	704.8
2013-12-15	864.9
2013-12-14	897.9
2013-12-13	912.6
2013-12-12	900.5
2013-12-11	921.8
2013-12-10	1023
2013-12-09	935.8
2013-12-08	730
2013-12-07	800.6
2013-12-06	872.6
2013-12-05	1030.6
2013-12-04	1145
2013-12-03	1048
2013-12-02	998.1
2013-12-01	955
2013-11-30	1112.4
2013-11-29	1107.5
2013-11-28	1010
2013-11-27	948
2013-11-26	849.6
2013-11-25	782.8
2013-11-24	813.7
2013-11-23	842.2
2013-11-22	760
2013-11-21	700
2013-11-20	550
2013-11-19	599
2013-11-18	585.2
2013-11-17	473.3
2013-11-16	435.3
2013-11-15	400
2013-11-14	418
2013-11-13	387.7
